,RoundIndex,VoterID,Util1,Util2,Util3,NumberOfCandidates,NumVotes,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref1_pos,Pos2_pref,Pref2_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
4219,10581,AHTJJ0KDJ6ZIA,20,10,0,3,1007,3,2,1,325,341,340,15,3,11,1,1,340,341,325,341,340.0,325,1.0,15.0,16,-1,16,15,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,1,0,16,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4220,10582,AZ5ZYUCAQ0XDL,20,10,0,3,1007,3,1,2,329,347,330,0,3,20,1,1,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4221,10583,A3779AAVHVT6EQ,20,10,0,3,1007,2,1,3,313,365,328,20,2,24,1,1,365,313,328,365,328.0,313,37.0,15.0,52,52,-15,37,2.0,1.0,1.0,3.0,3.0,2.0,2,TRT,0,52,37,-2.0,1.0,-1.0,0.0,-2.0,-1.0
4222,10584,A28TIENUWLMMIP,20,10,0,3,1007,3,2,1,215,565,226,10,3,20,1,1,226,565,215,565,226.0,215,339.0,11.0,350,-339,350,11,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,339,0,350,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4223,10585,A1CY01G7686ORZ,20,10,0,3,1007,2,3,1,301,371,334,20,2,14,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,1.0,2.0,2.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
4224,10586,AHTJJ0KDJ6ZIA,20,10,0,3,1007,1,2,3,322,344,340,10,2,12,1,2,322,344,340,344,340.0,322,4.0,18.0,22,-22,4,-18,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,22,0,4,2.0,-1.0,1.0,-2.0,0.0,-1.0
4225,10587,A3779AAVHVT6EQ,20,10,0,3,1007,2,1,3,290,409,307,20,2,25,1,1,409,290,307,409,307.0,290,102.0,17.0,119,119,-17,102,2.0,1.0,1.0,3.0,3.0,2.0,2,TRT,0,119,102,-2.0,1.0,-1.0,0.0,-2.0,-1.0
4226,10588,AZ5ZYUCAQ0XDL,20,10,0,3,1007,3,2,1,313,365,328,10,2,21,1,2,328,365,313,365,328.0,313,37.0,15.0,52,-37,52,15,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,37,0,52,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4227,10589,AHTJJ0KDJ6ZIA,20,10,0,3,1007,1,3,2,269,378,359,0,3,13,1,2,269,359,378,378,359.0,269,19.0,90.0,109,-90,-19,-109,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,109,19,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4228,10590,A3779AAVHVT6EQ,20,10,0,3,1007,1,3,2,275,366,365,5,3,26,1,2,275,365,366,366,365.0,275,1.0,90.0,91,-90,-1,-91,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,91,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
