,NumberOfCandidates,Util1,Util2,Util3,NumVotes,GameIndexInSession,SessionIDX,VoterID,Pref1,Pref2,Pref3,Action,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,RoundIndex,Vote,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref1_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref3_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
6610,3,20,10,0,1009,1,1,JaepXc,1,2,3,1,474,356,178,6611,1,474,356,178,474,356.0,178,118.0,178.0,296,118,178,296,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,118,296,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6611,3,20,10,0,1010,28,1,KnhXvQ,2,1,3,2,405,303,301,6612,1,303,405,301,405,303.0,301,102.0,2.0,104,-102,104,2,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,102,0,104,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6612,3,20,10,0,1009,29,1,KnhXvQ,1,2,3,1,339,336,333,6613,1,339,336,333,339,336.0,333,3.0,3.0,6,3,3,6,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,3,6,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6613,3,20,10,0,1010,22,1,OTXxWg,1,3,2,1,520,391,98,6614,1,520,98,391,520,391.0,98,129.0,293.0,422,422,-293,129,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,422,129,-2.0,1.0,-1.0,0.0,-2.0,-1.0
6614,3,20,10,0,1009,23,1,OTXxWg,1,3,2,1,348,332,328,6615,1,348,328,332,348,332.0,328,16.0,4.0,20,20,-4,16,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,20,16,-2.0,1.0,-1.0,0.0,-2.0,-1.0
6615,3,20,10,0,1009,7,1,VOm6nZ,1,2,3,1,403,303,302,6616,1,403,303,302,403,303.0,302,100.0,1.0,101,100,1,101,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,100,101,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6616,3,20,10,0,1009,2,1,P5L2Pk,2,3,1,3,349,331,328,6617,2,331,328,349,349,331.0,328,18.0,3.0,21,3,-21,-18,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,18,21,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6617,3,20,10,0,1009,24,1,OTXxWg,2,3,1,1,362,324,322,6618,3,324,322,362,362,324.0,322,38.0,2.0,40,2,-40,-38,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,38,40,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6618,3,20,10,0,1009,8,1,VOm6nZ,2,3,1,1,567,226,215,6619,3,226,215,567,567,226.0,215,341.0,11.0,352,11,-352,-341,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,341,352,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6619,3,20,10,0,1009,25,1,OTXxWg,3,1,2,2,673,269,66,6620,3,66,673,269,673,269.0,66,404.0,203.0,607,-607,404,-203,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,607,0,404,2.0,-1.0,1.0,-2.0,0.0,-1.0
6620,3,20,10,0,1010,9,1,VOm6nZ,2,1,3,2,339,335,335,6621,1,335,339,335,339,335.0,335,4.0,0.0,4,-4,4,0,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,4,0,4,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6621,3,20,10,0,1009,26,1,OTXxWg,2,1,3,2,404,402,202,6622,1,402,404,202,404,402.0,202,2.0,200.0,202,-2,202,200,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,2,0,202,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6622,3,20,10,0,1009,10,1,VOm6nZ,1,2,3,1,566,227,215,6623,1,566,227,215,566,227.0,215,339.0,12.0,351,339,12,351,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,339,351,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6623,3,20,10,0,1009,27,1,OTXxWg,1,2,3,1,448,448,112,6624,1,448,448,112,448,448.0,112,0.0,336.0,336,0,336,336,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,0,336,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6624,3,20,10,0,1010,11,1,VOm6nZ,3,2,1,2,339,336,334,6625,2,334,336,339,339,336.0,334,3.0,2.0,5,-2,-3,-5,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,5,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6625,3,20,10,0,1009,2,1,JaepXc,2,1,3,2,349,331,328,6626,1,331,349,328,349,331.0,328,18.0,3.0,21,-18,21,3,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,18,0,21,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6626,3,20,10,0,1010,28,1,OTXxWg,1,2,3,1,404,304,301,6627,1,404,304,301,404,304.0,301,100.0,3.0,103,100,3,103,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,100,103,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6627,3,20,10,0,1009,2,1,EznYXo,3,2,1,3,404,303,301,6628,1,301,303,404,404,303.0,301,101.0,2.0,103,-2,-101,-103,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,103,101,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6628,3,20,10,0,1009,12,1,VOm6nZ,3,1,2,1,344,341,323,6629,2,323,344,341,344,341.0,323,3.0,18.0,21,-21,3,-18,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,21,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
6629,3,20,10,0,1010,29,1,OTXxWg,3,1,2,2,361,325,323,6630,3,323,361,325,361,325.0,323,36.0,2.0,38,-38,36,-2,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,38,0,36,2.0,-1.0,1.0,-2.0,0.0,-1.0
6630,3,20,10,0,1009,13,1,VOm6nZ,1,2,3,3,630,252,126,6631,3,630,252,126,630,252.0,126,378.0,126.0,504,378,126,504,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,378,504,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
