,VoterID,Util1,Util2,Util3,Util4,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,Pref4,VotesCand1PreVote,VotesCand2PreVote,RoundIndex,VotesCand3PreVote,VotesCand4PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesPref4PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,VotesFourth_poll,GAP14_poll,GAP24_poll,GAP34_poll,GAP14_pref_poll,GAP24_pref_poll,GAP34_pref_poll,Pref1_pos,Pos1_pref,Pref3_pos,Pos2_pref,Pref4_pos,Pos3_pref,Pref2_pos,Pos4_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,GAPL4_Pref_poll,Pos12,Pos23,Pos13,Pos14,Pos24,Pos34,PosL1,PosL2,PosL3,PosL4
1691,A2GN5JHI8B2SO7,15,10,5,0,1006,4,4,1,3,2,245,274,1691,246,240,0,2,9,1,4,240,245,246,274,274,246.0,245,28.0,1.0,29,-5,-1,-6,240,34,6.0,5,-34,-29,-28,4.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,24,SCMP,34,29,28,0,1.0,1.0,2.0,3.0,2.0,1.0,-3.0,-2.0,-1.0,0.0
1692,A2GN5JHI8B2SO7,15,10,5,0,1007,4,3,2,4,1,183,460,1692,184,179,10,2,10,1,2,184,460,179,183,460,184.0,183,276.0,1.0,277,-276,281,5,179,281,5.0,4,1,277,-4,2.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,8,WLB,276,0,281,277,1.0,-3.0,-2.0,-1.0,-2.0,1.0,-1.0,0.0,-3.0,-2.0
1693,A2GN5JHI8B2SO7,15,10,5,0,1007,4,1,3,4,2,181,464,1693,185,176,0,2,11,1,4,181,185,176,464,464,185.0,181,279.0,4.0,283,-4,9,5,176,288,9.0,5,-283,-279,-288,3.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,21,CMP,283,279,288,0,1.0,-2.0,-1.0,2.0,1.0,3.0,-2.0,-1.0,-3.0,0.0
1694,A2GN5JHI8B2SO7,15,10,5,0,1006,4,1,4,2,3,248,261,1694,249,247,5,2,12,1,3,248,247,261,249,261,249.0,248,12.0,1.0,13,1,-14,-13,247,14,2.0,1,-1,-2,12,3.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,17,LB,13,14,0,12,-1.0,3.0,2.0,1.0,2.0,-1.0,-2.0,-3.0,0.0,-1.0
1695,A2GN5JHI8B2SO7,15,10,5,0,1007,4,1,2,4,3,242,277,1695,276,211,10,2,13,1,2,242,277,211,276,277,276.0,242,1.0,34.0,35,-35,66,31,211,66,65.0,31,-34,1,-65,3.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,11,WLB,35,0,66,1,2.0,-3.0,-1.0,1.0,-1.0,2.0,-2.0,0.0,-3.0,-1.0
1696,A2GN5JHI8B2SO7,15,10,5,0,1005,4,3,1,2,4,244,272,1696,245,243,5,2,14,1,3,245,244,272,243,272,245.0,244,27.0,1.0,28,1,-28,-27,243,29,2.0,1,2,1,29,2.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,13,LB,27,28,0,29,-1.0,2.0,1.0,-2.0,-1.0,-3.0,-1.0,-2.0,0.0,-3.0
1697,A2GN5JHI8B2SO7,15,10,5,0,1007,4,4,3,1,2,230,315,1697,236,225,0,2,15,1,4,225,236,230,315,315,236.0,230,79.0,6.0,85,-11,6,-5,225,90,11.0,5,-90,-79,-85,4.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,22,CMP,90,79,85,0,2.0,-1.0,1.0,3.0,1.0,2.0,-3.0,-1.0,-2.0,0.0
1698,A2GN5JHI8B2SO7,15,10,5,0,1005,4,3,2,1,4,250,254,1698,251,249,10,3,16,1,1,251,254,250,249,254,251.0,250,3.0,1.0,4,-3,4,1,249,5,2.0,1,2,5,1,2.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,7,WLB,3,0,4,5,1.0,-2.0,-1.0,-2.0,-3.0,-1.0,-1.0,0.0,-2.0,-3.0
1699,A2GN5JHI8B2SO7,15,10,5,0,1007,4,4,2,1,3,217,330,1699,248,211,10,2,17,1,2,211,330,217,248,330,248.0,217,82.0,31.0,113,-119,113,-6,211,119,37.0,6,-37,82,-31,4.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,12,WLB,119,0,113,82,3.0,-2.0,1.0,2.0,-1.0,1.0,-3.0,0.0,-2.0,-1.0
1700,A2GN5JHI8B2SO7,15,10,5,0,1007,4,3,2,1,4,168,479,1700,192,167,10,2,18,1,2,192,479,168,167,479,192.0,168,287.0,24.0,311,-287,311,24,167,312,25.0,1,25,312,1,2.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,7,WLB,287,0,311,312,1.0,-2.0,-1.0,-2.0,-3.0,-1.0,-1.0,0.0,-2.0,-3.0
1701,A2GN5JHI8B2SO7,15,10,5,0,1006,4,4,1,3,2,255,270,1701,256,224,0,1,19,1,2,224,255,256,270,270,256.0,255,14.0,1.0,15,-31,-1,-32,224,46,32.0,31,-46,-15,-14,4.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,24,SCMP,46,15,14,0,1.0,1.0,2.0,3.0,2.0,1.0,-3.0,-2.0,-1.0,0.0
1702,A2GN5JHI8B2SO7,15,10,5,0,1007,4,1,2,3,4,249,258,1702,256,243,10,2,20,1,2,249,258,256,243,258,256.0,249,2.0,7.0,9,-9,2,-7,243,15,13.0,6,6,15,13,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,9,WLB,9,0,2,15,2.0,-1.0,1.0,-1.0,-3.0,-2.0,-2.0,0.0,-1.0,-3.0
